asin,parent_asin,rating,title,text,timestamp,verified_purchase,helpful_vote
B08CN41G3Z,B08CN41G3Z,4.0,Cute ponytail for a quick style!,"It’s very pretty!! The bow is more of a deep wine or burgundy than a red color, like the picture. The bow, unfortunately, is not detachable. But the hair itself is cute!",1596234382047,False,0
B00I4FP2EW,B00I4FP2EW,5.0,Holy Grail of Skin Serums!,"Omg this stuff is amazing! I never heard of this company before and did my research before purchasing. Kinda of pricey for a 2 week treatment I thought but oh well. Soo - it's a 2 week treatment that is a boot camp for the skin! I'm 38 and my skin was smoother, no reactions and I love it! I was just wondering if I could do everyday wear lol",1675394837043,True,0
B01JZ7FVRK,B01JZ7FVRK,5.0,Amazing product,Totally love them. Have Had them in a week. Super soft. Have dyed them to match as color was slightly off my natural.  But blended beautifully.  Almost zero shed. Super soft . Virtually zero tangles upon washing. Totally recommend definitely worthy.,1489365166000,True,2
B01ETZ41PQ,B01ETZ41PQ,1.0,NOT FOR UNPROCESSED BLONDES!!!,"I put this on virgin dirty blonde hair for a couple months of fun and it looked how I expected. What I did NOT expect was for this product to permanently stain my hair. Some of you might like the sound of that, but let me assure you the stain is not attractive--think NEON SALMON. After 6 months of trying every method in the book, this ugly color will not leave me the hell alone. There needs to be a warning on this product.",1545397899753,False,1
B00K0QV1QQ,B016LD3C04,5.0,Good Product,Excellent product.<br />Meets my expectations .<br />I recommend the seller .,1443547879000,True,0
B08VRS858V,B08VRS858V,5.0,agradecida gacia,estoy muy contenta  con mi cintillo está muy bonito muchas gracia y el moño está divino,1624293188595,True,0
B014S5VT6Q,B014S5VT6Q,5.0,THIS powder is so amazing! i love it,"omg, ok 54 year old who was feeling old. powders lately made me look even older. THIS powder is so amazing! i love it. super lightweight. covers perfectly, does not accentuate lines and wrinkles. does everything exactly right! perfect! cannot say enuff! AWESOME",1529100839441,True,2
B07ZS3DKL5,B07ZS3DKL5,5.0,Love this moisturizer!!,"I put this on every morning and look forward to it. It’s a cucumber scented light cream that is just so refreshing. It moisturizes immediately, soaks in without feeling greasy and feels amazing. It may be in my mind but it’s cool to touch like you’re putting cool cucumbers on your face. You’ll look good and feel good. My skin loves this too and feels soft to touch.",1596742365061,False,0
B00VG0RQCS,B00VG0RQCS,2.0,Does not dry hair well,"I was hoping these would work well  but they really don't work any better than a normal towel. Yes they stay in place better but with my thick hair it actually dries slower in this than it does in a regular bath towel. Very disappointed in the quality, but I guess you get what you pay for.",1497020692472,True,0
B07YCT43ZR,B07YCT43ZR,4.0,Great pigment,I love all the colors of eyeshadow good for everyday wear and good to spice it up.,1595913983812,True,0
B06VWPZN56,B06VWPZN56,5.0,DMSO Cream Great for pain,My wife has a serious Auto Immune disease (AS) that causes back and pelvic pain.  DMSO cream is superior to anything out there in reducing pain and works faster than other topical creams.,1570305066398,True,0
B00QRALK92,B00QRALK92,5.0,Love These...Great Value,"Love the color, it is perfect for me.  I was using a top name brand and stopped using it because it would not line properly without a lot of pressure which is not good around the eye area.<br />These go on like a dream, very smooth application...and bonus, they come in a 3-pack.<br />I'm thrilled!!",1601157131684,True,1
B078KMNGL6,B078KMNGL6,5.0,Works great!,This stuff right here is pretty great! It definitely does it’s  job and I always seem to get more complements on my hair the days I use this oil. I was surprised with how small the bottle was but it takes hardly any of the product each use. Just make sure not to use too much at once!!!,1539043957598,True,2
B076CT4T3X,B076CT4T3X,3.0,Lousy cap,The top cap seemed to be designed to be cute but does not last & doesn’t work that well either.  The lotion is Gr8 says my wife but getting it out of the bottle isn’t fun,1613852778684,True,1
B08L35BP36,B08L35BP36,1.0,Pre used,"Never used this item since upon opening it, it was clearly used (see attached pictures).",1608686482059,True,0
B08ZL8LKZ4,B08ZL8LKZ4,2.0,Battery doesn't last long  enough,I like the curls but this product does not have long lasting battery<br />Life I had to keep stopping and charging it so I could do my hair,1647353849617,True,0
B082KCFJC9,B082KCFJC9,5.0,Love these!!!,"I debated on if I should try these or not and I am so glad I did! I will definitely order them again when I run out. They work great! They stick well, are easy to apply like the ones I used to buy at Walmart, and look awesome on.  They came just like the pictures, all cute designs.",1588815027570,True,0
B01GUXUMZ8,B01GUXUMZ8,3.0,Love the foam idea and the color once it's on ...,"Love the foam idea and the color once it's on your skin, but the palm of my hands turn a horrible green color every time I apply and I can't get it off.",1521236095636,True,0
B08CBLMYSX,B08CBLMYSX,5.0,LOVED THIS BRUSH CLEANER!!!!,"I had to write a review about this brush cleaner. I HATE with a passion to clean my makeup brushes. Its always tedious and takes forever. Not anymore, this was perfect cleans and gets the makeup out of them quick and easy. Just a few swipes and boom! CLEAN! Its perfect sized. not too big and not too small and I love the color.",1601484411212,True,0
B0732VZBY9,B0732VZBY9,4.0,"Great ingredients, hydration","It’s cute to carry with me.<br />I have dry skin, my sister has oily skin.<br />It fits the best for me because its hydration.<br />If you have very oily skin, it might not the best for you.<br /><br />It has real wonderful ingredients, no Carcinogen. As I grow old, the ingredient is the first thing I care about.<br /><br />Price is real nice too.<br />Coverage is also 4 stars of 5. It covers many freckles.<br />The tone is a bit darker than I expected.",1584657350457,True,0
B0B93GH5BY,B0B8NLVLPD,5.0,Fluffy,These are very big and fluffy. I can’t wait to use them. The lining looks very sturdy. They don’t look like they’ll fall off easily. I’m very excited.,1665533026335,False,0
B0163GB1NE,B0163GB1NE,4.0,This product is scrubby enough to clear away dirt and ...,"This product is scrubby enough to clear away dirt and dry skin, but gentle enough on my very sensitive skin. I would give it 5 stars, but it has a strange smell when you first take it out of the packaging. Don't let that discourage you from trying this product though, it's worth the try!",1465479369000,True,0
B00514F21W,B00514F21W,3.0,Not a bad product,Not a bad product but I'm not feeling the foamy style of this wash.,1498053371023,True,0
B01AS894AU,B01AS894AU,5.0,Your face and skin will love this!,"I have been using this (and almost all of the other Skin2Spirit body products) for a few years now, and I can't recommend them highly enough! My skin is healthy - inside and out. I use this serum after the facewash while there still is a little water on my skin. It soaks right in, taking the hydration in with it. It is light and refreshing - and feels so good and healthy. I follow it up with the Super Fruits Face Cream, which also is light and absorbs quickly. My face feels healthy and protected all day, even in the dryness of winter. Try any (or all) of Skin2Spirit's products; your skin will thank you!",1530889007841,True,1
B00BJGBEXG,B00BJGBEXG,2.0,Only good for ears.,"It's too small to fit your nose lips or anything else other than your ears. Make sure you have safe earrings to put in after you use these earrings to pierce, they don't come with backs.",1394548487000,True,0
B06Y16ZN4D,B06Y16ZN4D,1.0,Doesn't last long.,"I'm not happy with this at all. As you can see in the photos, the bristles are already breaking off and I've only used it maybe 3 times. I have short hair (chin length) and I use regular conditioner in the shower and leave in conditioner cream before I brush my hair so its not like it's fighting a bunch of knots or tangles. Super disappointed.",1499302506192,True,6
B08GC67NV7,B08GC67NV7,5.0,"Soft and cozy, but runs a little snug","Cute and cozy for sure! These headbands are so soft and do a great job at holding back my hair. I don’t think I have a particularly large head, but felt the headbands were a bit on the snug side. My guess is that they will stretch out with time.",1606857786350,True,0
B076XWKY24,B076XZ3W2B,5.0,"Real, old-school essences","Really good smell, the real deal essences, like I remember from the late 90's and early 2000's, not some mock substitute crap. Scent is not overbearing. I have bought a nag champa lotion of a DIFFERENT brand before, and even a dab of it was enough to give me a headache. This stuff is just right.",1592069047881,True,7
B01DVESI3W,B01DVESI3W,5.0,Great but could be slowly killing me.,Works but who knows what extreme damage I’m doing to my underlids,1541382596988,True,1
B0944BGWPN,B0944BGWPN,5.0,Best self tanning yet,It took me a bit to figure out how much of this I needed to use.  I am using hives coconut lotion.  I ended up needing 4 drops for one pump of lotion… using about 9-10 pumps each time.  Gives me a nice natural looking gradual tan without smelling like I used product.  Couldn’t be happier.,1626537199190,True,1
B08JQS9FVP,B08JQS9FVP,5.0,Great low-waste conditioner!,"I love this product! It was very easy to mix up, and the bar melted nicely into the hot water. The consistency is perfect and the peppermint scent is very refreshing. It left my hair feeling soft and rinsed cleanly. I love Ethique shampoo bars but the solid conditioner always left my hair feeling tangled and dry. This is perfect!<br />My one piece of feedback is that the peppermint is VERY prominent and completely covers the lavender. I find it refreshing and I enjoyed the slight minty tingle feeling on my scalp but more sensitive folks might want to go with the unscented version.<br />This is a great low-waste alternative, I’m so happy to ditch the plastic bottles of shampoo and conditioner!!!",1608706958129,True,6
B07FKGGLCW,B07FKGGLCW,2.0,Makartt dust,"El artículo llegó muy bien, pero pensé que tendría mejores resultados  con el artículo y en realidad no fue como esperaba, no estoy complacida con el producto",1538667247786,True,0
B07YG24PH2,B07YG24PH2,5.0,Perfect,"Spent forever looking for the right lashes on amazon and finally found these, I love love love them. The length is incredible and they’re super soft and light weight",1598664648325,True,0
B01N9YH59A,B01N9YH59A,2.0,Feel disappointed,"I was so happy to find this soap and ordered 12 pieces. However the soaps are kind of too old, and there are not the scents as same as the original ones.",1542512595025,True,0
B098J8KMJC,B098J8KMJC,5.0,First Wig cannot wait to wear for my Graduation in May.,"It’s hereee, it’s soft & this my first wig ever so i got an 20 inch. I just pray I install it right like i seen from youtube videos. I’m very excited to wear and install my hair!!",1649431213462,True,0
B01KT7BRNC,B01KT7BRNC,1.0,Smelled!,"This product had an odor that we could not get rid of, despite washing it in the washing machine, airing it out in the garage, even storing good-smelling soap inside for a while. Eventually I threw it out. It was a nice size and otherwise would have been great, but the smell was a deal breaker.",1516281396562,True,1
B0798PN6DD,B0798PN6DD,5.0,Must have!!,"Love these! Great quality silk and they seem to have a real hair tie inside, not just some cheap strip of elastic. They hold really well, even when wrapped a bunch of times like on the ends of braids. Will definitely be buying more in different colors! The price is really good too",1550244039972,True,0
B01EY7IOSO,B01EY7IOSO,5.0,Wig is perfect,This wig was perfect for my cosplay. It was the perfect color and length for the character I was cosplaying.,1566240874934,True,0
B00V7FKY62,B00V7FKY62,5.0,Great everyday eyeliner...affordable,"It's a good go-to, everyday eyeliner. Much more reasonably priced than others. Works as good if not better than the more expensive liners. It is rich in color.. Definitely recommend!",1650629833466,True,0
B018IVNBP8,B00NNLK5LW,5.0,Awesome!!,"I got the red ones, they are MOSTLY similar and thought it would be a solid color but they are a bit transparent<br />Either way awesome buy!!!!!",1570372255680,True,1
B07L8K15KD,B07L8K15KD,5.0,Great Variety of Colors,"I am very pleased with the purchase of the set of 10 Essie Nail Polish in random colors. The colors are great. I will use each one of them. And, the price is unbeatable.",1553040472546,True,1
B001DMIK9C,B001DMIK9C,5.0,Great aroma,This product is perfect for a home with a strange smell. (Like Cats) a great air freshener for your house.,1567268892693,True,0
B0745BHD85,B0745BHD85,1.0,Horrible!,Arrived broken and will not allow returns. This item is far smaller than I imagined and extremely cheap dollar store quality.,1520317340181,True,3
B000G8LWZI,B000G8LWZI,5.0,Singeingly Great,This stuff burns so good! I can't help but use it twice a day in conjunction with their other products in their line. My skin has never looked better.,1428981091000,True,0
B074PPN885,B09LHS6RGF,1.0,Sheds a whole lot,"I brought this for daughter for Christmas and this is day two and the hair have been shedding ab awful everything my daughters combs the hair. What a waste, it was full of hair but now there is hardly anything left. What's lifted of the mannequin won't last a week. Not happy.",1672098713191,True,0
B09QSLMPR5,B09QSLMPR5,1.0,0 stars,Don’t get them they are terrible I have to put one star or I can’t submit this review,1648874874507,True,0
B087F1YH2J,B087F1YH2J,3.0,I love the ombré color. I just couldn’t tolerate the product.,Could not tolerate this hair. It literally had my scalp on fire and I had to cut it out before a week past.  Unfortunately I had an allergic reaction to the product. Was advised to soak my products before using them due to the alkaline in the product.,1596247086720,True,2
B088BG6JYM,B088BG6JYM,5.0,Great quality,"My daughter ordered this DND polish along with several other colors because she does gel nails, with her just starting out with her new hobby , she said their polishes are the best quality",1598436263196,True,1
B0848Q8MQN,B0848Q8MQN,4.0,Too many ingredients,"Water, Glycerin, Butylene Glycol, Hydrogenated Polydecene, Cetyl Ethylhexanoate, Cetearyl Alcohol, Caprylic/Capric Triglyceride, Panthenol, Polyglyceryl-3 Methylglucose Distearate, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Citrus Limon (Lemon) Peel Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Citrus Nobilis (Mandarin Orange) Peel Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Myrothamnus Flabellifolia Callus Culture Extract, Cymbopogon Schoenanthus Oil, Hydrolyzed Vegetable Protein, Macadamia Integrifolia Seed Oil, Pyrus Malus (Apple) Fruit Water, 1,2-Hexanediol, Dimethicone, Hydrogenated Lecithin, Jojoba Esters, Cetearyl Glucoside,  Polyacrylate-13, Hydroxyacetophenone, Polymethylsilsesquioxane, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Polyisobutene, Caprylyl Glycol, Synthetic Beeswax, Polysorbate 20,Sorbitan Isostearate, Citric Acid, Sodium Citrate, Sodium Hyaluronate, Indole Acetic Acid, Maltodextrin, Tocopherol, Propanediol, Vegetable Amino Acids, Pentylene Glycol, Ceramide NP, Phytosphingosine, Polyglutamic Acid, Xanthan Gum, Disodium EDTA, Potassium Benzoate<br /><br />Had I seen this list prior to purchasing, I wouldn't have bought it. However, it is a pleasant experience washing my face w this cleanser, mild, light fragrance, gel dissolves nicely to water, not drying, leaving skin soft and smooth.",1582142453454,False,2
B00QHB2J2S,B00QHB2J2S,5.0,Glad it’s back!,"Love this product, which I used many years ago. Same nice scent, great coverage, stays on all day, needs no.powder.",1576956856643,True,0
B07ZN3XGPG,B07ZN3XGPG,5.0,Perfect,"I didn’t want to pay for a full size, so opted for the smaller/sample size. It still lasts a long time for me. I’ve purchased this color before & love it. It came much sooner than it stated it would.",1600971632139,True,0
B017HYB2BM,B017HYB2BM,1.0,I ordered this but was shipped OGX root booster,"This wonderful OGX creme seems to be out of production.  I ordered this but was shipped OGX root booster, a thin spray that is nothing like the creme.  When ordering, I was careful to notice the difference in name and nozzle on the 2 different products, so I know it was not my mistake.  Now I have the inconvenience of a return.",1561581825211,True,0
B07B5L2638,B07B5L2638,1.0,Rainbow titanium curling iron.,"Did not purchase because the only reviews showed 5 stars when the item was free.<br />And, the spelling of curling on the box has curing. WT.?",1529694171269,False,0
B00YVCWUCE,B00YVCWUCE,5.0,Works like magic!,This is a miracle worker!  Comes out the tangles like magic!  Love it!,1478191563000,True,0
B01N6O264G,B01N6O264G,5.0,Excellent Face Mist!,"I really love this facial mist. It had been on my wishlist forever, and I'm so glad I finally bought it!<br /><br />Visually, it's a lovely product (pretty rose petals floating around in it!), and it's just the right size to tuck in my purse and use on the go. It smells just like roses! Not like a fake rose scent, which I would find annoying, but actual roses. The spray is fine and properly modulated, and it sinks in really nicely. This is my first face mist, but I think I made a great choice going with this one. :)",1486171103000,True,2
B00J4SCZFM,B00J4SCZFM,3.0,Okay...for the price.,"These are okay for the price.  They are not identified or numbered, so probably not the best set for amateur make up enthusiasts (like me).  They are pretty soft and have nice handles; however, the larger brushes in the set I received are shedding.  I've only used the bigger brushes a couple of times but had to wipe several hairs from my face each time.  I am hoping these were just errant loose ones and not indicative of an ongoing problem -- I can't stand brushes that shed!!!  The smaller brushes are pretty good but even so, I would probably pass on these.",1421173516000,True,3
B08HLZD1NQ,B08HLZD1NQ,1.0,Horrible and poor quality,These shaving heads are very poor. I had 3 day stubble and it could not Even cut it at all. There were patches that I went over 4 to 5 times and it wasn’t cutting. I wasted my money on these. I had the 30$ Phillips shaver and it cut much better then this,1612491280089,True,2
B00MPAN2J4,B00MPAN2J4,5.0,Typo... great case!,"I believe this is a typo, I have one of these wonderful cases.  It holds up to 125 bottles and not just 25.",1418167782000,False,3
B01G5ZLL06,B01G5ZLL06,4.0,LOVE it and love the price,"LOVE it and love the price. You can't beat it. I gave this four stars, however, because one of the bottles arrived broken and the box was full of the product. But...I must speak to the amazing customer service of this seller and Amazon because I was compensated fairly for the inconvenience.",1479905990000,True,0
B09HWCZNSJ,B09HWCZNSJ,5.0,Stays closed and good value,"The best cases I've found so far. I received the turquoise, blue and green. All are pretty and bright which makes them hard to misplace. They are lightweight, easy to open but will stay closed when dropped. I've seen similar cases on Amazon for twice as much, these are a good value.",1637342850148,True,0
B08BND2TSQ,B08BND2TSQ,5.0,The BOMB,I have always worn lashes but these have been the best. My lashes look very natural with a pop of wow and I am so pleased. They feel like they are my very own and I get so many compliments. I am way too happy about my Xtreme Lashes. Thanks for creating such an innovative aspect to beauty. You are a Beauty Icon!,1651701949307,True,0
B07R3HSGDG,B07R3HSGDG,5.0,Great product,Got the product on time and the lashes are intact. They are so cute and full. The description of the lashes is accurate to what I received . Love these will be buying again,1558089378357,True,0
B018EYC72C,B018EYC72C,5.0,Good product,It is good but I am not sure it is better than anything else I have used.,1525307068139,True,0
B08VJ98FMM,B08VJ98FMM,3.0,BIG curling iron!,The clip on top is hard to mash and the whole thing is just too long!  There wasn't a measurement on the description.,1632709286895,True,0
B08F7N263C,B08F7N263C,3.0,Not velvet,Very nice. But not velvet. Also the way they packed them some of them got stretched out and I had to work to get them back to their original size.,1632529234561,True,0
B01E9W5JYG,B01E9W5JYG,5.0,Awesome seller!!,"Beautiful shirt. Mine arrived too small and I ordered my regular size. I emailed the seller and within hours he emailed me back and issued a full refund so I could re-order a bigger size. This is a seller that I would definitely recommend. I love the quality of the shirt, I can't wait to get my right size in. I love sellers who are honest and quick like this one!! I'd definitely recommend this to anyone. Beautiful shirt!!",1477599588000,True,3
B071JTJN3P,B071JTJN3P,4.0,"Cute, comfy, stay on well","So far (after excitedly trying all of them on right after each other) I really like these headbands! The colors and patterns are so cute. The striped ones are a silkier fabric while the floral printed ones are a more textured fabric. These don't stretch all the way around your head like many headbands do, you have to stretch it over your head around where you want it to be and then style your hair from there. Not the best pick for a quick hair fix, perhaps a standard elastic headband would be best for that! They seem to be pretty sturdy on the head; a lot of headbands can tend to slip around or even fall off. I didn't wear these for a long time, but I tested their strength by moving my head around and they stayed pretty much in place. They are a tad bit more narrow than I had anticipated, but you can sort of splat out the fabric if you like a wider headband like me. I attached a few of the pictures I took while trying them out. I love how they look with my hair both up and down! It adds a touch of flair and class to even a simple bun. Overall I really like these. They fit the style I was looking for with a great price. Definitely recommend!",1505534700676,True,6
B00011JN5G,B00011JN5G,2.0,Doesn’t come with battery and this pissed me off,There was no gd battery with it so I couldn’t even use it all that money and you can’t muster a battery with it?!,1634264784967,True,0
B0002SGSNI,B0002SGSNI,5.0,This base coat is really great. My 7 year old daughter's nail polish never ...,"This base coat is really great. My 7 year old daughter's nail polish never stays on more than 1 - 2 days. I think young kids have oilier nail beds than adults so the base coat I used to use worked fine for me, but not for her. This one really helps the nail polish stay on both of us!",1428982004000,True,0
B01HFWKXTS,B01HFWKXTS,5.0,Use every single night for best results. It works,I've heard of eyelash growth serums but wasn't sure they would really work. I purchased few less expansive serums on Amazon and did not like them. I haven't got any results. I'm using COS Naturals vitamin c serum and noticed that they have eyelash growth serum too. After using this serum every single night I can really see improvements. My lashes are much longer and seems thicker as well. I strongly recommend trying this product! It really works,1500503589105,True,1
B08ZXT8Q8F,B08ZXT8Q8F,5.0,Love it!,"[[VIDEOID:f720c71606db592f54a36e42fd08b5a5]] I love the product. Very good quality.  Only issue I have and it may be me  is headaches as it may be tight to my head. Buy it, its very nice.",1648328200755,True,0
B07XPN6V4M,B07XPN6V4M,5.0,Great value!,"I loved these lip liners. They are great quality and are comparable to some of my MAC lip liners. Honestly, you can't beat the price and you get a good variety of colors too.",1594969098324,True,0
B07V67T38G,B07V67T38G,5.0,I’m able to fix my hair every morning!,"It took a couple days to get used to using it on my hair, but overall it’s a great product!  The brush heats up to 450 F in a couple minutes.  I haven’t had the need to use the glove or clips (yet) since I chopped off my long hair right before purchasing, but I think the glove will come in handy if used with longer hair (shoulder length or longer).  I think this product will work best for longer hair, but it has helped my chin/shoulder length hair to smooth out before I start my day.  I think the plastic bristles can be a bit rough on the scalp, but it’s not a deal breaker.  I recommend this product for anyone who wants to straighten out their hair and tame the baby hairs in a short amount of time!",1568347913072,True,0
B07YZ7JG6Z,B07YZ7JG6Z,1.0,Knockoff maybe?,The product I received looks completely different from the picture. I don't know if I got the wrong item or some kind of knock off but this was very different than what I thought it would be. The magnet is very weak and does not accomplish what is advertised. I tried it with a stronger magnet but still didn't get the effect that I wanted because the nail polish doesn't have a lot of color to it. And the quality of the polish itself is very poor.,1596747433623,True,6
B06XVX7L12,B06XVX7L12,5.0,Amazing product,Gave it as a gift and my sister loved it. She thought it was amazing and reached all the areas that itched without messing up her hair.,1566346680095,True,0
B08T7GQCBY,B08T7GQCBY,3.0,Ok for the money,"The headband with the bow was misshapen as one side of the bow was longer and the other side much shorter, which was disappointing.",1638829556153,True,0
B08B4W7BTL,B08B4W7BTL,1.0,Would not recommend,These are very difficult to get to stick to the liner. The application brush is very thick so it’s impossible to get a cute thin line. Would not recommend. Was a waste of money.,1642658341762,False,0
B07CT3Z8FV,B07CT3Z8FV,5.0,I am a believer,"I have been a Secret user for a long time. I started reading up on the unnatural deodorants and found out the undeniable connection to breast cancer. So, I decided to get a natural deodorant. At first I was really disappointed. I was having to put it on twice a day to stop from smelling, which is unusual because with the Secret deodorant I only had to put it on every couple of days. I read online that you might go through a detox, so I kept with it and now I can put it on in the morning and not have to put it on again! I'm super excited that a natural deodorant is working for me and that I have gotten away from the chemical deodorants that I have used in the past!",1557351659666,True,0
B08ZHZRN35,B08ZHZRN35,5.0,Easy and great price!,Very reasonable price for someone like me who is starting to wax! I would definitely recommend!,1620162890675,True,0
B01MZY5F5B,B01MZY5F5B,4.0,Great,This beard wash/conditioner is great but you have to use a nice portion on your beard to get a good lather if beard was conditioned for normal daily protection,1513999540762,True,2
B01FT3RJME,B01FT3RJME,5.0,Great product,I really like the product. The service was great. Very prompt delivery.<br />I would recommend this company and product.<br />Thank you,1505609040730,True,0
B00EXP082S,B0BM4G8PN1,3.0,Not made to use with glue,"If using for the purpose they were intended (paint), they probably work great. I wanted to use it with Crystal Accents for very fine application.  Glue doesn't want to come out. Glad I only put a small amount in the bottle.",1393674653000,True,1
B08HCQ9WK2,B08HCQ9WK2,3.0,Colorist beware,Only given the hair a 3 star bc I don’t believe the hair is 100 perfect human it does not color well at all we tried to get the hair to blonde n from the pic you can see it didn’t happen,1609600958494,True,0
B01636G5SK,B01636G5SK,5.0,I like the way the head comes off as well,A neat gift for my Dad who has limited mobility of his arms. I like the way the head comes off as well.  The brush came nicely boxed. The canvas handle on the head was also a nice touch.  I would buy this again - I have not seen anything like it in the stores.,1448159783000,False,0
B08177224S,B08177224S,5.0,Glad we bought it,Granddaughter said that it worked really nice and she's glad she got it,1616216590982,True,0
B00LMI2QW4,B00LMI2QW4,4.0,Refreshing and cost effective,Refreshing scent and cost effective purchasing method. Thumbs up.,1447256053000,True,0
B01CL6LGFS,B01CL6LGFS,5.0,Five Stars,Fast shipping. Very light and actually stays on your head. Fits babies and adults,1466310210000,True,0
B01NCY6667,B01NCY6667,3.0,Not for dry skin!,I have dry skin and this oil was pretty drying. It was almost as drying as rosehip oil. It felt luxurious as I applied it but unfortunately did not provide the moisturizing effect I like and get from marula or camellia oil.,1575942286170,False,0
B06XKV9S5J,B06XKV9S5J,5.0,Awesome!,These things are amazing! Best eye makeup remover I have ever used!,1509749056551,False,0
